id,Name of the place,BHK,Buildup Area (sq.ft),Price (Cr.)
1652,"Bangalore City Municipal Corporation Layout,Bangalore",5,5000,2.5
1653,"Srikrupa Layout, Abbigere, Abbigere,Bangalore",5,4600,1.95
1654,"Hemmigepura,Bangalore",3,1500,1.3
1655,"Raghavendra Layout Chikkabanavara,Thammenahalli Village,Bangalore",4,1000,1.75
1656,"Sai Residency,Railway Layout, Jnana Ganga Nagar,Bangalore",4,1200,3.5
1657,"Mavalli,Bangalore",10,8000,5.5
1658,"BEL, Vidyaranyapura,Bangalore",9,12321,9
1659,"Ankappa Layout, Uttarahalli Hobli,Bangalore",10,3700,2
1660,"BDA Layout BTM 4th Stage, Bommanahalli,Bangalore",4,3900,3.85
1661,"Stage 2, Nagarbhavi,Bangalore",3,3200,3.1
1662,"Harapanahalli,Bangalore",4,6000,3.1
1663,"Bashyam Nagar, Srirampuram,Bangalore",5,7500,5.86
1664,"Singapura Village, Varadharaja Nagar,Bangalore",2,4800,2.75
1665,"Cheemasandra,Bangalore",3,920,0.8
1666,"Yadavanahalli,Bangalore",8,4800,1.1
1667,"Sri krishna real estate ,Thotada Guddadhalli Village,Bangalore",4,1800,0.9
1668,"PNB Layout, Konanakunte,Bangalore",10,4200,2.5
1669,"Banashankari 6th Stage 6th Block,Bangalore",4,1900,1.1
1670,"Kada Agrahara ,Bangalore",2,1050,0.75
1671,"Mattanahalli,Bangalore",3,1450,0.79
1672,"Mavalli,Bangalore",10,8000,5.5
1673,"Yadavanahalli,Bangalore",8,4800,1.1
1674,"Sai Residency,Railway Layout, Jnana Ganga Nagar,Bangalore",4,1200,3.5
1675,"Singapura Village, Varadharaja Nagar,Bangalore",2,4800,2.75
1676,"Cheemasandra,Bangalore",3,920,0.8
1677,"Ankappa Layout, Uttarahalli Hobli,Bangalore",10,3700,2
1678,"BDA Layout BTM 4th Stage, Bommanahalli,Bangalore",4,3900,3.85
1679,"Stage 2, Nagarbhavi,Bangalore",3,3200,3.1
1680,"Bangalore City Municipal Corporation Layout,Bangalore",5,5000,2.5
1681,"Bashyam Nagar, Srirampuram,Bangalore",5,7500,5.86
1682,"Harapanahalli,Bangalore",4,6000,3.1
1683,"Raghavendra Layout Chikkabanavara,Thammenahalli Village,Bangalore",4,1000,1.75
1684,"BEL, Vidyaranyapura,Bangalore",9,12321,9
1685,"Srikrupa Layout, Abbigere, Abbigere,Bangalore",5,4600,1.95
1686,"Hemmigepura,Bangalore",3,1500,1.3
1687,"Yelahanka,Bangalore",5,4000,6.6
1688,"PNB Layout, Konanakunte,Bangalore",10,4200,2.5
1689,"Corporation ,East Of NGEF Layout, Kasturi Nagar,Bangalore",5,3500,6
1690,"Sri krishna real estate ,Thotada Guddadhalli Village,Bangalore",4,1800,0.9
1691,"Mattanahalli,Bangalore",3,1450,0.79
1692,"Bangalore City Municipal Corporation Layout,Bangalore",5,5000,2.5
1693,"Srikrupa Layout, Abbigere, Abbigere,Bangalore",5,4600,1.95
1694,"Hemmigepura,Bangalore",3,1500,1.3
1695,"Raghavendra Layout Chikkabanavara,Thammenahalli Village,Bangalore",4,1000,1.75
1696,"Sai Residency,Railway Layout, Jnana Ganga Nagar,Bangalore",4,1200,3.5
1697,"Mavalli,Bangalore",10,8000,5.5
1698,"BEL, Vidyaranyapura,Bangalore",9,12321,9
1699,"Ankappa Layout, Uttarahalli Hobli,Bangalore",10,3700,2
1700,"BDA Layout BTM 4th Stage, Bommanahalli,Bangalore",4,3900,3.85
1701,"Stage 2, Nagarbhavi,Bangalore",3,3200,3.1
1702,"Harapanahalli,Bangalore",4,6000,3.1
1703,"Bashyam Nagar, Srirampuram,Bangalore",5,7500,5.86
1704,"Singapura Village, Varadharaja Nagar,Bangalore",2,4800,2.75
1705,"Cheemasandra,Bangalore",3,920,0.8
