id,Name of the place,BHK,Buildup Area (sq.ft),Price (Cr.)
1,"Thirumagondanahalli,Bangalore",2,2032,0.7
2,"LIC nivas,Nanja Reddy Colony, Jeevanbheemanagar,Bangalore",3,1400,1.5
3,"Srinagar, Banashankari,Bangalore",2,2000,2.6
4,"Kadugodi, Krishnarajapura,Bangalore",3,1000,0.7
5,"Yelahanka,Bangalore",5,4000,6.6
6,"Byrathi Kannur,Kannuru, Bangalore",5,5750,4
7,"Jettigana Halli, Hemmigepura,Bangalore",4,2400,1.25
8,"Ambedkar Nagar, Whitefield,Bangalore",7,4567,1.85
9,"Sadashiva Nagar, Armane Nagar,Bangalore",6,10500,40
10,"Kadugodi, Krishnarajapura,Bangalore",7,3000,1.45
11,"Manayata Tech Park, Nagavara,Bangalore",5,7400,12
12,"Sri Balaji Krupa Layout, R.K. Hegde Nagar,Bangalore",5,600,0.76
13,"Byadralli,Bangalore",4,3000,1.6
14,"Horamavu Agara, Horamavu,Bangalore",10,4500,2.2
15,"Sonappa Layout, Kodigehalli,Bangalore",5,3500,2.28
16,"Adityanagar, Vidyaranyapura,Bangalore",5,2600,1.05
17,"shiv niwas,M Vishveshvaraiah Nagar, Ramamurthy Nagar,Bangalore",4,3900,3.15
18,"Independent house banshankri 6th stage,Hemmigepura, Bangalore",3,2000,1.27
19,"Independent Bungalow JP Nagar Dollars Colony,7th Phase, JP Nagar,Bangalore",4,7500,12.5
20,"K C Krishna Reddy Layout, Margondanahalli,Bangalore",2,1000,0.85
21,"SUNRISE GK LAYOUT,Glass Factory Layout, Electronic City,Bangalore",4,1500,1.2
22,"Ambedkar Nagar, Whitefield,Bangalore",7,4650,1.85
23,"Nagashetty Halli, RMV Extension Stage 2,Bangalore",4,6832,18.5
24,"Bharath housingsociety layout uttarahalli,2 Stage, Uttarahalli Hobli,Bangalore",4,4600,3.24
25,"Horamavu Agara, Horamavu,Bangalore",5,4200,1.99
26,"Sonappa Layout, Kodigehalli,Bangalore",4,5000,2.6
27,"Rajiv Gandhi Nagar, Kodigehalli,Bangalore",8,4000,2.25
28,"Independent house in banshankri 6th stage,Hemmigepura, Bangalore",5,1200,2.75
29,"Bungalow Dallors Colony JP Nagar,4th Phase, JP Nagar,Bangalore",5,9500,13.5
30,"Hoysalanagar, Horamavu,Bangalore",5,2800,1.5
31,"Mattanahalli,Bangalore",3,1450,0.79
32,"Raghavendra Layout Chikkabanavara,Thammenahalli Village,Bangalore",4,1000,1.75
33,"Hemmigepura,Bangalore",3,1500,1.3
34,"Mavalli,Bangalore",10,8000,5.5
35,"Bangalore City Municipal Corporation Layout,Bangalore",5,5000,2.5
36,"Srikrupa Layout, Abbigere, Abbigere,Bangalore",5,4600,1.95
37,"Sai Residency,Railway Layout, Jnana Ganga Nagar,Bangalore",4,1200,3.5
38,"BDA Layout BTM 4th Stage, Bommanahalli,Bangalore",4,3900,3.85
39,"Stage 2, Nagarbhavi,Bangalore",3,3200,3.1
40,"BEL, Vidyaranyapura,Bangalore",9,12321,9
41,"Bashyam Nagar, Srirampuram,Bangalore",5,7500,5.86
42,"Harapanahalli,Bangalore",4,6000,3.1
43,"Yadavanahalli,Bangalore",8,4800,1.1
44,"Singapura Village, Varadharaja Nagar,Bangalore",2,4800,2.75
45,"Cheemasandra,Bangalore",3,920,0.8
46,"Ankappa Layout, Uttarahalli Hobli,Bangalore",10,3700,2
47,"Doddabanalli circle off white field road near safely market,Chikkabana Halli,Bangalore",4,2200,0.99
48,"Sri krishna real estate ,Thotada Guddadhalli Village,Bangalore",4,1800,0.9
49,"Kattigenahalli,Bangalore",2,3000,1.08
50,"Virgonagar, Aavalahalli,Bangalore",5,2252,0.85
51,"Rajajinagar,Bangalore",7,5000,4.3
52,"PNB Layout, Konanakunte,Bangalore",10,4200,2.5
53,"Yelahanka,Bangalore",5,4000,6.6
54,"Margondanahalli,Bangalore",2,1000,1.2
55,"Hancharahalli Village,Bangalore",3,1900,1.1
56,"Banashankari 6th Stage 6th Block,Bangalore",4,1900,1.1
57,"Seeghehalli, Krishnarajapura,Bangalore",7,3600,1.9
58,"Vivekananda Nagar, Banashankari,Bangalore",3,1350,2.6
59,"Kada Agrahara ,Bangalore",2,1050,0.75
60,"Corporation ,East Of NGEF Layout, Kasturi Nagar,Bangalore",5,3500,6
61,"Mattanahalli,Bangalore",3,1450,0.79
62,"BEL, Vidyaranyapura,Bangalore",9,12321,9
63,"Harapanahalli,Bangalore",4,6000,3.1
64,"BDA Layout BTM 4th Stage, Bommanahalli,Bangalore",4,3900,3.85
65,"Stage 2, Nagarbhavi,Bangalore",3,3200,3.1
66,"Ankappa Layout, Uttarahalli Hobli,Bangalore",10,3700,2
67,"Raghavendra Layout Chikkabanavara,Thammenahalli Village,Bangalore",4,1000,1.75
68,"Bangalore City Municipal Corporation Layout,Bangalore",5,5000,2.5
69,"Sai Residency,Railway Layout, Jnana Ganga Nagar,Bangalore",4,1200,3.5
70,"Srikrupa Layout, Abbigere, Abbigere,Bangalore",5,4600,1.95
71,"Mavalli,Bangalore",10,8000,5.5
72,"Hemmigepura,Bangalore",3,1500,1.3
73,"Bashyam Nagar, Srirampuram,Bangalore",5,7500,5.86
74,"Yadavanahalli,Bangalore",8,4800,1.1
75,"Singapura Village, Varadharaja Nagar,Bangalore",2,4800,2.75
76,"Cheemasandra,Bangalore",3,920,0.8
77,"Corporation ,East Of NGEF Layout, Kasturi Nagar,Bangalore",5,3500,6
78,"Sri krishna real estate ,Thotada Guddadhalli Village,Bangalore",4,1800,0.9
79,"Margondanahalli,Bangalore",2,1000,1.2
80,"Hancharahalli Village,Bangalore",3,1900,1.1
81,"Mattanahalli,Bangalore",3,1450,0.79
82,"BEL, Vidyaranyapura,Bangalore",9,12321,9
83,"Harapanahalli,Bangalore",4,6000,3.1
84,"BDA Layout BTM 4th Stage, Bommanahalli,Bangalore",4,3900,3.85
85,"Stage 2, Nagarbhavi,Bangalore",3,3200,3.1
86,"Ankappa Layout, Uttarahalli Hobli,Bangalore",10,3700,2
87,"Raghavendra Layout Chikkabanavara,Thammenahalli Village,Bangalore",4,1000,1.75
88,"Bangalore City Municipal Corporation Layout,Bangalore",5,5000,2.5
89,"Sai Residency,Railway Layout, Jnana Ganga Nagar,Bangalore",4,1200,3.5
90,"Srikrupa Layout, Abbigere, Abbigere,Bangalore",5,4600,1.95
91,"Mavalli,Bangalore",10,8000,5.5
92,"Hemmigepura,Bangalore",3,1500,1.3
93,"Bashyam Nagar, Srirampuram,Bangalore",5,7500,5.86
94,"Yadavanahalli,Bangalore",8,4800,1.1
95,"Singapura Village, Varadharaja Nagar,Bangalore",2,4800,2.75
96,"Cheemasandra,Bangalore",3,920,0.8
97,"Corporation ,East Of NGEF Layout, Kasturi Nagar,Bangalore",5,3500,6
98,"Sri krishna real estate ,Thotada Guddadhalli Village,Bangalore",4,1800,0.9
99,"Margondanahalli,Bangalore",2,1000,1.2
100,"Hancharahalli Village,Bangalore",3,1900,1.1
101,"Seeghehalli, Krishnarajapura,Bangalore",7,3600,1.9
102,"Vivekananda Nagar, Banashankari,Bangalore",3,1350,2.6
103,"Virgonagar, Aavalahalli,Bangalore",5,2252,0.85
104,"Yelahanka,Bangalore",5,4000,6.6
105,"PNB Layout, Konanakunte,Bangalore",10,4200,2.5
106,"Banashankari 6th Stage 6th Block,Bangalore",4,1900,1.1
107,"Doddabanalli circle off white field road near safely market,Chikkabana Halli,Bangalore",4,2200,0.99
108,"Rajajinagar,Bangalore",7,5000,4.3
109,"Kada Agrahara ,Bangalore",2,1050,0.75
110,"Kattigenahalli,Bangalore",2,3000,1.08
111,"Mattanahalli,Bangalore",3,1450,0.79
112,"Raghavendra Layout Chikkabanavara,Thammenahalli Village,Bangalore",4,1000,1.75
113,"Bashyam Nagar, Srirampuram,Bangalore",5,7500,5.86
114,"BDA Layout BTM 4th Stage, Bommanahalli,Bangalore",4,3900,3.85
115,"Stage 2, Nagarbhavi,Bangalore",3,3200,3.1
116,"Bangalore City Municipal Corporation Layout,Bangalore",5,5000,2.5
117,"Hemmigepura,Bangalore",3,1500,1.3
118,"Sai Residency,Railway Layout, Jnana Ganga Nagar,Bangalore",4,1200,3.5
119,"Mavalli,Bangalore",10,8000,5.5
120,"Harapanahalli,Bangalore",4,6000,3.1
121,"BEL, Vidyaranyapura,Bangalore",9,12321,9
122,"Cheemasandra,Bangalore",3,920,0.8
123,"Ankappa Layout, Uttarahalli Hobli,Bangalore",10,3700,2
124,"Srikrupa Layout, Abbigere, Abbigere,Bangalore",5,4600,1.95
125,"Yadavanahalli,Bangalore",8,4800,1.1
126,"Singapura Village, Varadharaja Nagar,Bangalore",2,4800,2.75
127,"Yelahanka,Bangalore",5,4000,6.6
128,"PNB Layout, Konanakunte,Bangalore",10,4200,2.5
129,"Corporation ,East Of NGEF Layout, Kasturi Nagar,Bangalore",5,3500,6
130,"Sri krishna real estate ,Thotada Guddadhalli Village,Bangalore",4,1800,0.9
131,"Banashankari 6th Stage 6th Block,Bangalore",4,1900,1.1
132,"Seeghehalli, Krishnarajapura,Bangalore",7,3600,1.9
133,"Kattigenahalli,Bangalore",2,3000,1.08
134,"Virgonagar, Aavalahalli,Bangalore",5,2252,0.85
135,"Margondanahalli,Bangalore",2,1000,1.2
136,"Kada Agrahara ,Bangalore",2,1050,0.75
137,"Rajajinagar,Bangalore",7,5000,4.3
138,"Doddabanalli circle off white field road near safely market,Chikkabana Halli,Bangalore",4,2200,0.99
139,"Hancharahalli Village,Bangalore",3,1900,1.1
140,"Vivekananda Nagar, Banashankari,Bangalore",3,1350,2.6
141,"Mattanahalli,Bangalore",3,1450,0.79
142,"Mavalli,Bangalore",10,8000,5.5
143,"Yadavanahalli,Bangalore",8,4800,1.1
144,"Sai Residency,Railway Layout, Jnana Ganga Nagar,Bangalore",4,1200,3.5
145,"Singapura Village, Varadharaja Nagar,Bangalore",2,4800,2.75
146,"Cheemasandra,Bangalore",3,920,0.8
147,"Ankappa Layout, Uttarahalli Hobli,Bangalore",10,3700,2
148,"BDA Layout BTM 4th Stage, Bommanahalli,Bangalore",4,3900,3.85
149,"Stage 2, Nagarbhavi,Bangalore",3,3200,3.1
150,"Bangalore City Municipal Corporation Layout,Bangalore",5,5000,2.5
151,"Bashyam Nagar, Srirampuram,Bangalore",5,7500,5.86
152,"Harapanahalli,Bangalore",4,6000,3.1
153,"Raghavendra Layout Chikkabanavara,Thammenahalli Village,Bangalore",4,1000,1.75
154,"BEL, Vidyaranyapura,Bangalore",9,12321,9
155,"Srikrupa Layout, Abbigere, Abbigere,Bangalore",5,4600,1.95
156,"Hemmigepura,Bangalore",3,1500,1.3
157,"Sri krishna real estate ,Thotada Guddadhalli Village,Bangalore",4,1800,0.9
158,"PNB Layout, Konanakunte,Bangalore",10,4200,2.5
159,"Banashankari 6th Stage 6th Block,Bangalore",4,1900,1.1
160,"Kada Agrahara ,Bangalore",2,1050,0.75
161,"Corporation ,East Of NGEF Layout, Kasturi Nagar,Bangalore",5,3500,6
162,"Hancharahalli Village,Bangalore",3,1900,1.1
163,"Margondanahalli,Bangalore",2,1000,1.2
164,"Rajajinagar,Bangalore",7,5000,4.3
165,"Vivekananda Nagar, Banashankari,Bangalore",3,1350,2.6
166,"Kattigenahalli,Bangalore",2,3000,1.08
167,"Virgonagar, Aavalahalli,Bangalore",5,2252,0.85
168,"Yelahanka,Bangalore",5,4000,6.6
169,"Seeghehalli, Krishnarajapura,Bangalore",7,3600,1.9
170,"Doddabanalli circle off white field road near safely market,Chikkabana Halli,Bangalore",4,2200,0.99
171,"Mattanahalli,Bangalore",3,1450,0.79
172,"Bangalore City Municipal Corporation Layout,Bangalore",5,5000,2.5
173,"Srikrupa Layout, Abbigere, Abbigere,Bangalore",5,4600,1.95
174,"Hemmigepura,Bangalore",3,1500,1.3
175,"Raghavendra Layout Chikkabanavara,Thammenahalli Village,Bangalore",4,1000,1.75
176,"Sai Residency,Railway Layout, Jnana Ganga Nagar,Bangalore",4,1200,3.5
177,"Mavalli,Bangalore",10,8000,5.5
178,"BEL, Vidyaranyapura,Bangalore",9,12321,9
179,"Ankappa Layout, Uttarahalli Hobli,Bangalore",10,3700,2
180,"BDA Layout BTM 4th Stage, Bommanahalli,Bangalore",4,3900,3.85
181,"Stage 2, Nagarbhavi,Bangalore",3,3200,3.1
182,"Harapanahalli,Bangalore",4,6000,3.1
183,"Bashyam Nagar, Srirampuram,Bangalore",5,7500,5.86
184,"Singapura Village, Varadharaja Nagar,Bangalore",2,4800,2.75
185,"Cheemasandra,Bangalore",3,920,0.8
186,"Yadavanahalli,Bangalore",8,4800,1.1
187,"Doddabanalli circle off white field road near safely market,Chikkabana Halli,Bangalore",4,2200,0.99
188,"Sri krishna real estate ,Thotada Guddadhalli Village,Bangalore",4,1800,0.9
189,"Kattigenahalli,Bangalore",2,3000,1.08
190,"Virgonagar, Aavalahalli,Bangalore",5,2252,0.85
191,"Mattanahalli,Bangalore",3,1450,0.79
192,"Srikrupa Layout, Abbigere, Abbigere,Bangalore",5,4600,1.95
193,"Bangalore City Municipal Corporation Layout,Bangalore",5,5000,2.5
194,"BEL, Vidyaranyapura,Bangalore",9,12321,9
195,"Raghavendra Layout Chikkabanavara,Thammenahalli Village,Bangalore",4,1000,1.75
196,"Mavalli,Bangalore",10,8000,5.5
197,"Harapanahalli,Bangalore",4,6000,3.1
198,"Sai Residency,Railway Layout, Jnana Ganga Nagar,Bangalore",4,1200,3.5
199,"Yadavanahalli,Bangalore",8,4800,1.1
200,"Hemmigepura,Bangalore",3,1500,1.3
201,"BDA Layout BTM 4th Stage, Bommanahalli,Bangalore",4,3900,3.85
202,"Stage 2, Nagarbhavi,Bangalore",3,3200,3.1
203,"Singapura Village, Varadharaja Nagar,Bangalore",2,4800,2.75
204,"Cheemasandra,Bangalore",3,920,0.8
205,"Bashyam Nagar, Srirampuram,Bangalore",5,7500,5.86
206,"Ankappa Layout, Uttarahalli Hobli,Bangalore",10,3700,2
207,"Margondanahalli,Bangalore",2,1000,1.2
208,"Hancharahalli Village,Bangalore",3,1900,1.1
209,"Rajajinagar,Bangalore",7,5000,4.3
210,"Kattigenahalli,Bangalore",2,3000,1.08
211,"Virgonagar, Aavalahalli,Bangalore",5,2252,0.85
212,"Corporation ,East Of NGEF Layout, Kasturi Nagar,Bangalore",5,3500,6
213,"Kada Agrahara ,Bangalore",2,1050,0.75
214,"Sri krishna real estate ,Thotada Guddadhalli Village,Bangalore",4,1800,0.9
215,"Seeghehalli, Krishnarajapura,Bangalore",7,3600,1.9
216,"Vivekananda Nagar, Banashankari,Bangalore",3,1350,2.6
217,"PNB Layout, Konanakunte,Bangalore",10,4200,2.5
218,"Banashankari 6th Stage 6th Block,Bangalore",4,1900,1.1
219,"Doddabanalli circle off white field road near safely market,Chikkabana Halli,Bangalore",4,2200,0.99
220,"Yelahanka,Bangalore",5,4000,6.6
221,"Mattanahalli,Bangalore",3,1450,0.79
222,"Raghavendra Layout Chikkabanavara,Thammenahalli Village,Bangalore",4,1000,1.75
223,"Hemmigepura,Bangalore",3,1500,1.3
224,"Mavalli,Bangalore",10,8000,5.5
225,"Bangalore City Municipal Corporation Layout,Bangalore",5,5000,2.5
226,"Srikrupa Layout, Abbigere, Abbigere,Bangalore",5,4600,1.95
227,"Sai Residency,Railway Layout, Jnana Ganga Nagar,Bangalore",4,1200,3.5
228,"BDA Layout BTM 4th Stage, Bommanahalli,Bangalore",4,3900,3.85
229,"Stage 2, Nagarbhavi,Bangalore",3,3200,3.1
230,"BEL, Vidyaranyapura,Bangalore",9,12321,9
231,"Bashyam Nagar, Srirampuram,Bangalore",5,7500,5.86
232,"Harapanahalli,Bangalore",4,6000,3.1
233,"Yadavanahalli,Bangalore",8,4800,1.1
234,"Singapura Village, Varadharaja Nagar,Bangalore",2,4800,2.75
235,"Cheemasandra,Bangalore",3,920,0.8
236,"Ankappa Layout, Uttarahalli Hobli,Bangalore",10,3700,2
237,"Kada Agrahara ,Bangalore",2,1050,0.75
238,"Corporation ,East Of NGEF Layout, Kasturi Nagar,Bangalore",5,3500,6
239,"PNB Layout, Konanakunte,Bangalore",10,4200,2.5
240,"Yelahanka,Bangalore",5,4000,6.6
241,"Mattanahalli,Bangalore",3,1450,0.79
242,"Srikrupa Layout, Abbigere, Abbigere,Bangalore",5,4600,1.95
243,"Bangalore City Municipal Corporation Layout,Bangalore",5,5000,2.5
244,"BEL, Vidyaranyapura,Bangalore",9,12321,9
245,"Raghavendra Layout Chikkabanavara,Thammenahalli Village,Bangalore",4,1000,1.75
246,"Mavalli,Bangalore",10,8000,5.5
247,"Harapanahalli,Bangalore",4,6000,3.1
248,"Sai Residency,Railway Layout, Jnana Ganga Nagar,Bangalore",4,1200,3.5
249,"Yadavanahalli,Bangalore",8,4800,1.1
250,"Hemmigepura,Bangalore",3,1500,1.3
251,"BDA Layout BTM 4th Stage, Bommanahalli,Bangalore",4,3900,3.85
252,"Stage 2, Nagarbhavi,Bangalore",3,3200,3.1
253,"Singapura Village, Varadharaja Nagar,Bangalore",2,4800,2.75
254,"Cheemasandra,Bangalore",3,920,0.8
255,"Bashyam Nagar, Srirampuram,Bangalore",5,7500,5.86
256,"Ankappa Layout, Uttarahalli Hobli,Bangalore",10,3700,2
257,"Vivekananda Nagar, Banashankari,Bangalore",3,1350,2.6
258,"Banashankari 6th Stage 6th Block,Bangalore",4,1900,1.1
259,"Rajajinagar,Bangalore",7,5000,4.3
260,"Seeghehalli, Krishnarajapura,Bangalore",7,3600,1.9
261,"Kada Agrahara ,Bangalore",2,1050,0.75
262,"Corporation ,East Of NGEF Layout, Kasturi Nagar,Bangalore",5,3500,6
263,"Doddabanalli circle off white field road near safely market,Chikkabana Halli,Bangalore",4,2200,0.99
264,"Kattigenahalli,Bangalore",2,3000,1.08
265,"Virgonagar, Aavalahalli,Bangalore",5,2252,0.85
266,"Hancharahalli Village,Bangalore",3,1900,1.1
267,"Margondanahalli,Bangalore",2,1000,1.2
268,"PNB Layout, Konanakunte,Bangalore",10,4200,2.5
269,"Yelahanka,Bangalore",5,4000,6.6
270,"Sri krishna real estate ,Thotada Guddadhalli Village,Bangalore",4,1800,0.9
271,"Mattanahalli,Bangalore",3,1450,0.79
272,"Srikrupa Layout, Abbigere, Abbigere,Bangalore",5,4600,1.95
273,"Mavalli,Bangalore",10,8000,5.5
274,"BDA Layout BTM 4th Stage, Bommanahalli,Bangalore",4,3900,3.85
275,"Stage 2, Nagarbhavi,Bangalore",3,3200,3.1
276,"Harapanahalli,Bangalore",4,6000,3.1
277,"Bangalore City Municipal Corporation Layout,Bangalore",5,5000,2.5
278,"Raghavendra Layout Chikkabanavara,Thammenahalli Village,Bangalore",4,1000,1.75
279,"Sai Residency,Railway Layout, Jnana Ganga Nagar,Bangalore",4,1200,3.5
280,"Hemmigepura,Bangalore",3,1500,1.3
281,"BEL, Vidyaranyapura,Bangalore",9,12321,9
282,"Bashyam Nagar, Srirampuram,Bangalore",5,7500,5.86
283,"Yadavanahalli,Bangalore",8,4800,1.1
284,"Singapura Village, Varadharaja Nagar,Bangalore",2,4800,2.75
285,"Cheemasandra,Bangalore",3,920,0.8
286,"Ankappa Layout, Uttarahalli Hobli,Bangalore",10,3700,2
287,"Sri krishna real estate ,Thotada Guddadhalli Village,Bangalore",4,1800,0.9
288,"PNB Layout, Konanakunte,Bangalore",10,4200,2.5
289,"Banashankari 6th Stage 6th Block,Bangalore",4,1900,1.1
290,"Kada Agrahara ,Bangalore",2,1050,0.75
291,"Mattanahalli,Bangalore",3,1450,0.79
292,"Srikrupa Layout, Abbigere, Abbigere,Bangalore",5,4600,1.95
293,"Bangalore City Municipal Corporation Layout,Bangalore",5,5000,2.5
294,"BEL, Vidyaranyapura,Bangalore",9,12321,9
295,"Raghavendra Layout Chikkabanavara,Thammenahalli Village,Bangalore",4,1000,1.75
296,"Mavalli,Bangalore",10,8000,5.5
297,"Harapanahalli,Bangalore",4,6000,3.1
298,"Sai Residency,Railway Layout, Jnana Ganga Nagar,Bangalore",4,1200,3.5
299,"Yadavanahalli,Bangalore",8,4800,1.1
300,"Hemmigepura,Bangalore",3,1500,1.3
301,"BDA Layout BTM 4th Stage, Bommanahalli,Bangalore",4,3900,3.85
302,"Stage 2, Nagarbhavi,Bangalore",3,3200,3.1
303,"Singapura Village, Varadharaja Nagar,Bangalore",2,4800,2.75
304,"Cheemasandra,Bangalore",3,920,0.8
305,"Bashyam Nagar, Srirampuram,Bangalore",5,7500,5.86
306,"Ankappa Layout, Uttarahalli Hobli,Bangalore",10,3700,2
307,"Corporation ,East Of NGEF Layout, Kasturi Nagar,Bangalore",5,3500,6
308,"Sri krishna real estate ,Thotada Guddadhalli Village,Bangalore",4,1800,0.9
309,"Margondanahalli,Bangalore",2,1000,1.2
310,"Hancharahalli Village,Bangalore",3,1900,1.1
311,"Mattanahalli,Bangalore",3,1450,0.79
312,"Sai Residency,Railway Layout, Jnana Ganga Nagar,Bangalore",4,1200,3.5
313,"Bangalore City Municipal Corporation Layout,Bangalore",5,5000,2.5
314,"Srikrupa Layout, Abbigere, Abbigere,Bangalore",5,4600,1.95
315,"Yadavanahalli,Bangalore",8,4800,1.1
316,"Singapura Village, Varadharaja Nagar,Bangalore",2,4800,2.75
317,"Cheemasandra,Bangalore",3,920,0.8
318,"Hemmigepura,Bangalore",3,1500,1.3
319,"Ankappa Layout, Uttarahalli Hobli,Bangalore",10,3700,2
320,"BDA Layout BTM 4th Stage, Bommanahalli,Bangalore",4,3900,3.85
321,"Stage 2, Nagarbhavi,Bangalore",3,3200,3.1
322,"Harapanahalli,Bangalore",4,6000,3.1
323,"BEL, Vidyaranyapura,Bangalore",9,12321,9
324,"Bashyam Nagar, Srirampuram,Bangalore",5,7500,5.86
325,"Raghavendra Layout Chikkabanavara,Thammenahalli Village,Bangalore",4,1000,1.75
326,"Mavalli,Bangalore",10,8000,5.5
327,"Vivekananda Nagar, Banashankari,Bangalore",3,1350,2.6
328,"Banashankari 6th Stage 6th Block,Bangalore",4,1900,1.1
329,"Hancharahalli Village,Bangalore",3,1900,1.1
330,"Rajajinagar,Bangalore",7,5000,4.3
331,"Margondanahalli,Bangalore",2,1000,1.2
332,"Doddabanalli circle off white field road near safely market,Chikkabana Halli,Bangalore",4,2200,0.99
333,"Kattigenahalli,Bangalore",2,3000,1.08
334,"Virgonagar, Aavalahalli,Bangalore",5,2252,0.85
335,"PNB Layout, Konanakunte,Bangalore",10,4200,2.5
336,"Yelahanka,Bangalore",5,4000,6.6
337,"Kada Agrahara ,Bangalore",2,1050,0.75
338,"Corporation ,East Of NGEF Layout, Kasturi Nagar,Bangalore",5,3500,6
339,"Sri krishna real estate ,Thotada Guddadhalli Village,Bangalore",4,1800,0.9
340,"Seeghehalli, Krishnarajapura,Bangalore",7,3600,1.9
341,"Mattanahalli,Bangalore",3,1450,0.79
342,"Raghavendra Layout Chikkabanavara,Thammenahalli Village,Bangalore",4,1000,1.75
343,"Bashyam Nagar, Srirampuram,Bangalore",5,7500,5.86
344,"BDA Layout BTM 4th Stage, Bommanahalli,Bangalore",4,3900,3.85
345,"Stage 2, Nagarbhavi,Bangalore",3,3200,3.1
346,"Bangalore City Municipal Corporation Layout,Bangalore",5,5000,2.5
347,"Hemmigepura,Bangalore",3,1500,1.3
348,"Sai Residency,Railway Layout, Jnana Ganga Nagar,Bangalore",4,1200,3.5
349,"Mavalli,Bangalore",10,8000,5.5
350,"Harapanahalli,Bangalore",4,6000,3.1
351,"BEL, Vidyaranyapura,Bangalore",9,12321,9
352,"Cheemasandra,Bangalore",3,920,0.8
353,"Ankappa Layout, Uttarahalli Hobli,Bangalore",10,3700,2
354,"Srikrupa Layout, Abbigere, Abbigere,Bangalore",5,4600,1.95
355,"Yadavanahalli,Bangalore",8,4800,1.1
356,"Singapura Village, Varadharaja Nagar,Bangalore",2,4800,2.75
357,"Vivekananda Nagar, Banashankari,Bangalore",3,1350,2.6
358,"Banashankari 6th Stage 6th Block,Bangalore",4,1900,1.1
359,"Hancharahalli Village,Bangalore",3,1900,1.1
360,"Rajajinagar,Bangalore",7,5000,4.3
361,"Margondanahalli,Bangalore",2,1000,1.2
362,"Doddabanalli circle off white field road near safely market,Chikkabana Halli,Bangalore",4,2200,0.99
363,"Kattigenahalli,Bangalore",2,3000,1.08
364,"Virgonagar, Aavalahalli,Bangalore",5,2252,0.85
365,"PNB Layout, Konanakunte,Bangalore",10,4200,2.5
366,"Yelahanka,Bangalore",5,4000,6.6
367,"Kada Agrahara ,Bangalore",2,1050,0.75
368,"Corporation ,East Of NGEF Layout, Kasturi Nagar,Bangalore",5,3500,6
369,"Sri krishna real estate ,Thotada Guddadhalli Village,Bangalore",4,1800,0.9
370,"Seeghehalli, Krishnarajapura,Bangalore",7,3600,1.9
371,"Mattanahalli,Bangalore",3,1450,0.79
372,"Mavalli,Bangalore",10,8000,5.5
373,"Yadavanahalli,Bangalore",8,4800,1.1
374,"Sai Residency,Railway Layout, Jnana Ganga Nagar,Bangalore",4,1200,3.5
375,"Singapura Village, Varadharaja Nagar,Bangalore",2,4800,2.75
376,"Cheemasandra,Bangalore",3,920,0.8
377,"Ankappa Layout, Uttarahalli Hobli,Bangalore",10,3700,2
378,"BDA Layout BTM 4th Stage, Bommanahalli,Bangalore",4,3900,3.85
379,"Stage 2, Nagarbhavi,Bangalore",3,3200,3.1
380,"Bangalore City Municipal Corporation Layout,Bangalore",5,5000,2.5
381,"Bashyam Nagar, Srirampuram,Bangalore",5,7500,5.86
382,"Harapanahalli,Bangalore",4,6000,3.1
383,"Raghavendra Layout Chikkabanavara,Thammenahalli Village,Bangalore",4,1000,1.75
384,"BEL, Vidyaranyapura,Bangalore",9,12321,9
385,"Srikrupa Layout, Abbigere, Abbigere,Bangalore",5,4600,1.95
386,"Hemmigepura,Bangalore",3,1500,1.3
387,"Margondanahalli,Bangalore",2,1000,1.2
388,"Hancharahalli Village,Bangalore",3,1900,1.1
389,"Rajajinagar,Bangalore",7,5000,4.3
390,"Kattigenahalli,Bangalore",2,3000,1.08
391,"Mattanahalli,Bangalore",3,1450,0.79
392,"Mavalli,Bangalore",10,8000,5.5
393,"Yadavanahalli,Bangalore",8,4800,1.1
394,"Sai Residency,Railway Layout, Jnana Ganga Nagar,Bangalore",4,1200,3.5
395,"Singapura Village, Varadharaja Nagar,Bangalore",2,4800,2.75
396,"Cheemasandra,Bangalore",3,920,0.8
397,"Ankappa Layout, Uttarahalli Hobli,Bangalore",10,3700,2
398,"BDA Layout BTM 4th Stage, Bommanahalli,Bangalore",4,3900,3.85
399,"Stage 2, Nagarbhavi,Bangalore",3,3200,3.1
400,"Bangalore City Municipal Corporation Layout,Bangalore",5,5000,2.5
401,"Bashyam Nagar, Srirampuram,Bangalore",5,7500,5.86
402,"Harapanahalli,Bangalore",4,6000,3.1
403,"Raghavendra Layout Chikkabanavara,Thammenahalli Village,Bangalore",4,1000,1.75
404,"BEL, Vidyaranyapura,Bangalore",9,12321,9
405,"Srikrupa Layout, Abbigere, Abbigere,Bangalore",5,4600,1.95
406,"Hemmigepura,Bangalore",3,1500,1.3
407,"Kada Agrahara ,Bangalore",2,1050,0.75
408,"Corporation ,East Of NGEF Layout, Kasturi Nagar,Bangalore",5,3500,6
409,"PNB Layout, Konanakunte,Bangalore",10,4200,2.5
410,"Yelahanka,Bangalore",5,4000,6.6
411,"Kattigenahalli,Bangalore",2,3000,1.08
412,"Virgonagar, Aavalahalli,Bangalore",5,2252,0.85
413,"Rajajinagar,Bangalore",7,5000,4.3
414,"Doddabanalli circle off white field road near safely market,Chikkabana Halli,Bangalore",4,2200,0.99
415,"Seeghehalli, Krishnarajapura,Bangalore",7,3600,1.9
